21:07:09:03:45:22[INFO ] transfergrammar.pl-90    : ##ENTERING LOAD RULE FUNC
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R18: NP(({x1:}{x2:<root="$x.3">}{x3:})) => NP(({x1:}{x3:}{x2:}))
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----18
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::NP(({x1:}{x2:<root="$x.3">}{x3:})) ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:NP(({x1:}{x2:<root="$x.3">}{x3:}))
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--NP~
21:07:09:03:45:22[INFO ] load.pl-232   : word-{x1:
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-
21:07:09:03:45:22[INFO ] load.pl-232   : word-{x2:<root="$x.3">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<root="$x.3">
21:07:09:03:45:22[INFO ] load.pl-232   : word-{x3:
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::NP(({x1:}{x3:}{x2:}))
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:1
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-x1,Word-,Pos-,Fs-
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-x3,Word-,Pos-,Fs-
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-x2,Word-,Pos-,Fs-
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 15
21:07:09:03:45:22[INFO ] transfergrammar.pl-93    : ##OUT OF LOAD RULE FUNC
21:07:09:03:45:22[INFO ] transfergrammar.pl-129   : ##ENTERING RULE MATCH func

21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--1
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--2
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--4
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::rAmudu ::Pos::NNP ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :0 and adj_vAdu Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--5
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::rAmudu ::Pos::NNP ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :A and adj_vAdu Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--7
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::rAmudu ::Pos::NNP ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :ki and adj_vAdu Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--8
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::rAmudu ::Pos::NNP ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :uwwaraM and rAma Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--9
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::rAmudu ::Pos::NNP ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :paScima and rAma Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--10
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::rAmudu ::Pos::NNP ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :xakRiNaM and rAma Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--11
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::rAmudu ::Pos::NNP ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :wUrpu and rAma Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--12
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--13
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--14
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::rAmudu ::Pos::NNP ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :num and n Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--16
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--17
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,JJP
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--18
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::rAmudu ::Pos::NNP ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=1
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--1
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--2
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--4
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::mohanvalYlu ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :0 and  Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--5
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::mohanvalYlu ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :A and  Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--7
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::mohanvalYlu ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :ki and  Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--8
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::mohanvalYlu ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :uwwaraM and mohanvalYlu Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--9
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::mohanvalYlu ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :paScima and mohanvalYlu Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--10
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::mohanvalYlu ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :xakRiNaM and mohanvalYlu Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--11
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::mohanvalYlu ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :wUrpu and mohanvalYlu Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--12
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--13
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--14
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::mohanvalYlu ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :num and unk Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--16
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--17
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,JJP
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--18
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::mohanvalYlu ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=1
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--1
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--2
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--4
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::panI ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :0 and 0_V Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--5
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::panI ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :A and 0_V Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--7
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::panI ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :ki and 0_V Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--8
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::panI ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :uwwaraM and pani Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--9
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::panI ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :paScima and pani Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--10
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::panI ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :xakRiNaM and pani Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--11
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::panI ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :wUrpu and pani Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--12
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--13
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--14
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::panI ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-173   : Input Value and Rule Value :num and n Don't Match
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--16
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--17
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,JJP
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-NP
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--18
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::panI ::Pos::NN ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=1
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-VGF
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--1
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::ceswunnArani ::Pos::VRB ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-161   : Variable:$x Value:wunn
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=1
21:07:09:03:45:22[INFO ] rule_match.pl-226   : Flag Val=1
21:07:09:03:45:22[INFO ] rule_match.pl-95    : Applying Rule number:1,@ 3
21:07:09:03:45:22[INFO ] rule_match.pl-96    : MODIFY USING RULE
21:07:09:03:45:22[INFO ] modify.pl-17    : #######DELETION OF THE CHUNKS######
21:07:09:03:45:22[INFO ] modify.pl-33    : #######REORDER OF THE NODES######
21:07:09:03:45:22[INFO ] modify.pl-92    : Comparing: VGF~--VGF~
21:07:09:03:45:22[INFO ] modify.pl-97    : Done: VGF~ Next
21:07:09:03:45:22[INFO ] modify.pl-136   : ####DELETION OF WORDS#####
21:07:09:03:45:22[INFO ] modify.pl-144   : Node:10 Chunk:VGF
21:07:09:03:45:22[INFO ] modify.pl-144   : Node:13 Chunk:NP
21:07:09:03:45:22[INFO ] modify.pl-176   : ####REORDERING OF WORDS#####
21:07:09:03:45:22[INFO ] modify.pl-200   : Checking in VGF~
21:07:09:03:45:22[INFO ] modify.pl-210   : Rhs -0
21:07:09:03:45:22[INFO ] modify.pl-211   : Lhs -0
21:07:09:03:45:22[INFO ] modify.pl-217   : 0---
21:07:09:03:45:22[INFO ] modify.pl-237   : 0---
21:07:09:03:45:22[INFO ] modify.pl-257   : LHS WORDS
21:07:09:03:45:22[INFO ] modify.pl-262   : 
21:07:09:03:45:22[INFO ] modify.pl-263   : RHS WORDS
21:07:09:03:45:22[INFO ] modify.pl-268   : 
21:07:09:03:45:22[INFO ] modify.pl-325   : ####Modifying RHS Children
21:07:09:03:45:22[INFO ] modify.pl-331   : Node:10 Chunk:VGF
21:07:09:03:45:22[INFO ] modify.pl-357   : Modifying Children
21:07:09:03:45:22[INFO ] modify.pl-612   : Modifying FS of Child 0+1 
21:07:09:03:45:22[INFO ] modify.pl-543   : 8 $x
21:07:09:03:45:22[INFO ] modify.pl-331   : Node:13 Chunk:NP
21:07:09:03:45:22[INFO ] modify.pl-344   : Add Node::13::
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-VGF
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--2
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,VGF
21:07:09:03:45:22[INFO ] rule_match.pl-211   : Word::ceswunnArani ::Pos::VRB ::Fs::
21:07:09:03:45:22[INFO ] rule_match.pl-213   : Part Flag Val=0
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-VGF
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--4
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-VGF
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--5
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-VGF
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--7
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-VGF
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--8
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
21:07:09:03:45:22[INFO ] rule_match.pl-41    : Rule Chunk Tag:,NP
21:07:09:03:45:22[INFO ] rule_match.pl-38    : RULE AT-VGF
21:07:09:03:45:22[INFO ] rule_match.pl-39    : Rule No--9
21:07:09:03:45:22[INFO ] rule_match.pl-40    : Pos in Rule--,1
